Vasoactive intestinal peptide receptor 1a OS=Poecilia formosa OX=48698 PE=3 SV=2 tr|A0A087YDJ2|A0A087YDJ2_POEFO
Vasoactive intestinal polypeptide receptor OS=Meleagris gallopavo OX=9103 GN=VIPR1 PE=2 SV=2 sp|Q91085|VIPR_MELGA
Uncharacterized protein OS=Colinus virginianus OX=9014 GN=H355_002723 PE=3 SV=1 tr|A0A226P6K7|A0A226P6K7_COLVI
Vasoactive intestinal peptide receptor 1 OS=Anas platyrhynchos OX=8839 GN=VIPR1 PE=3 SV=1 tr|U3ITT2|U3ITT2_ANAPL
Vasoactive intestinal peptide receptor 1 OS=Pelodiscus sinensis OX=13735 GN=VIPR1 PE=3 SV=1 tr|K7GGM6|K7GGM6_PELSI
Vasoactive intestinal peptide receptor 1b OS=Oryzias latipes OX=8090 GN=LOC101155153 PE=3 SV=1 tr|A0A3B3I9J7|A0A3B3I9J7_ORYLA
Vasoactive intestinal peptide receptor 1a OS=Xiphophorus maculatus OX=8083 PE=3 SV=1 tr|M3ZDL9|M3ZDL9_XIPMA
Vasoactive intestinal peptide receptor 1a OS=Danio rerio OX=7955 GN=vipr1a PE=3 SV=1 tr|F1R788|F1R788_DANRE
Vasoactive intestinal peptide receptor 1b OS=Xiphophorus maculatus OX=8083 PE=3 SV=2 tr|M4A521|M4A521_XIPMA
Vasoactive intestinal peptide receptor 1b OS=Poecilia formosa OX=48698 PE=3 SV=2 tr|A0A087XCX6|A0A087XCX6_POEFO
vasoactive intestinal polypeptide receptor 1 OS=Austrofundulus limnaeus OX=52670 GN=vipr1 PE=3 SV=1 tr|A0A2I4AQA0|A0A2I4AQA0_9TELE
Vasoactive intestinal peptide receptor 1b OS=Oreochromis niloticus OX=8128 GN=vipr1 PE=3 SV=1 tr|I3JEI8|I3JEI8_ORENI
Vasoactive intestinal peptide receptor 1b OS=Takifugu rubripes OX=31033 PE=3 SV=2 tr|H2V7A6|H2V7A6_TAKRU
Vasoactive intestinal peptide receptor 1b OS=Tetraodon nigroviridis OX=99883 PE=3 SV=1 tr|H3D5B9|H3D5B9_TETNG
Vasoactive intestinal peptide receptor 1b OS=Gasterosteus aculeatus OX=69293 PE=3 SV=1 tr|G3NGC7|G3NGC7_GASAC
Vasoactive intestinal peptide receptor 1a OS=Gasterosteus aculeatus OX=69293 PE=3 SV=1 tr|G3PH86|G3PH86_GASAC
Vasoactive intestinal polypeptide receptor 1 isoform B OS=Alligator mississippiensis OX=8496 GN=VIPR1 PE=3 SV=1 tr|A0A151PDN7|A0A151PDN7_ALLMI
vasoactive intestinal polypeptide receptor 1 isoform X1 OS=Alligator sinensis OX=38654 GN=VIPR1 PE=3 SV=2 tr|A0A1U8D7Y1|A0A1U8D7Y1_ALLSI
Vasoactive intestinal peptide receptor 1 OS=Anolis carolinensis OX=28377 GN=VIPR1 PE=3 SV=2 tr|G1KFK2|G1KFK2_ANOCA
Vasoactive intestinal peptide receptor 1a OS=Takifugu rubripes OX=31033 GN=LOC101077903 PE=3 SV=2 tr|H2T6L7|H2T6L7_TAKRU
Vasoactive intestinal peptide receptor 1a OS=Tetraodon nigroviridis OX=99883 PE=3 SV=1 tr|H3CR63|H3CR63_TETNG
Vasoactive intestinal peptide receptor 1a OS=Oreochromis niloticus OX=8128 GN=LOC100697561 PE=3 SV=1 tr|I3KES9|I3KES9_ORENI
Vasoactive intestinal polypeptide receptor-like (Fragment) OS=Scleropages formosus OX=113540 GN=Z043_121193 PE=3 SV=1 tr|A0A0P7WI31|A0A0P7WI31_9TELE
Vasoactive intestinal peptide receptor 1a OS=Astyanax mexicanus OX=7994 PE=3 SV=1 tr|A0A3B1ITM2|A0A3B1ITM2_ASTMX
vasoactive intestinal polypeptide receptor-like OS=Ictalurus punctatus OX=7998 GN=LOC108280844 PE=3 SV=1 tr|A0A2D0TA96|A0A2D0TA96_ICTPU
Vasoactive intestinal polypeptide receptor OS=Scophthalmus maximus OX=52904 GN=SMAX5B_001976 PE=3 SV=1 tr|A0A2U9CVJ0|A0A2U9CVJ0_SCOMX
Vasoactive intestinal peptide receptor 1b OS=Astyanax mexicanus OX=7994 PE=3 SV=1 tr|A0A3B1KJZ2|A0A3B1KJZ2_ASTMX
vasoactive intestinal polypeptide receptor-like OS=Salmo salar OX=8030 GN=LOC106590716 PE=3 SV=1 tr|A0A1S3QBH5|A0A1S3QBH5_SALSA
vasoactive intestinal polypeptide receptor-like OS=Ictalurus punctatus OX=7998 GN=LOC108256372 PE=3 SV=1 tr|A0A2D0PRL7|A0A2D0PRL7_ICTPU
Vasoactive intestinal peptide receptor 1b OS=Danio rerio OX=7955 GN=vipr1b PE=3 SV=1 tr|F1R383|F1R383_DANRE
Vasoactive intestinal peptide receptor 1b OS=Lepisosteus oculatus OX=7918 PE=3 SV=1 tr|W5MTN5|W5MTN5_LEPOC
Uncharacterized protein OS=Xenopus laevis OX=8355 GN=XELAEV_18032779mg PE=3 SV=1 tr|A0A1L8FQG9|A0A1L8FQG9_XENLA
Uncharacterized protein OS=Xenopus laevis OX=8355 GN=XELAEV_18030604mg PE=3 SV=1 tr|A0A1L8FV22|A0A1L8FV22_XENLA
Vasoactive intestinal peptide receptor 1 OS=Xenopus tropicalis OX=8364 GN=vipr1 PE=3 SV=1 tr|F6WME6|F6WME6_XENTR
Vasoactive intestinal peptide receptor 1b OS=Latimeria chalumnae OX=7897 PE=3 SV=1 tr|H3A5G9|H3A5G9_LATCH
