Growth hormone-releasing hormone receptor a OS=Danio rerio OX=7955 GN=ghrhra PE=3 SV=1 tr|A0A0R4IKR9|A0A0R4IKR9_DANRE
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Egretta garzetta OX=188379 GN=Z169_01011 PE=3 SV=1 tr|A0A091JK39|A0A091JK39_EGRGA
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Nipponia nippon OX=128390 GN=Y956_03893 PE=3 SV=1 tr|A0A091W0P7|A0A091W0P7_NIPNI
Vasoactive intestinal polypeptide receptor (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_14615 PE=3 SV=1 tr|A0A087QVN2|A0A087QVN2_APTFO
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Calypte anna OX=9244 GN=N300_12078 PE=3 SV=1 tr|A0A091IGE0|A0A091IGE0_CALAN
Vasoactive intestinal polypeptide receptor (Fragment) OS=Charadrius vociferus OX=50402 GN=N301_01362 PE=3 SV=1 tr|A0A0A0A678|A0A0A0A678_CHAVO
Vasoactive intestinal polypeptide receptor (Fragment) OS=Cuculus canorus OX=55661 GN=N303_03741 PE=3 SV=1 tr|A0A091FUJ3|A0A091FUJ3_9AVES
Vasoactive intestinal polypeptide receptor (Fragment) OS=Columba livia OX=8932 GN=A306_00002397 PE=3 SV=1 tr|A0A2I0MRF4|A0A2I0MRF4_COLLI
Vasoactive intestinal polypeptide receptor OS=Patagioenas fasciata monilis OX=372326 GN=AV530_011683 PE=3 SV=1 tr|A0A1V4KLD9|A0A1V4KLD9_PATFA
Vasoactive intestinal polypeptide receptor 1-like protein OS=Amazona aestiva OX=12930 GN=AAES_121438 PE=3 SV=1 tr|A0A0Q3PP63|A0A0Q3PP63_AMAAE
Vasoactive intestinal polypeptide receptor (Fragment) OS=Opisthocomus hoazin OX=30419 GN=N306_07672 PE=3 SV=1 tr|A0A091VSW7|A0A091VSW7_OPIHO
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Dryobates pubescens OX=118200 GN=N307_11055 PE=3 SV=1 tr|A0A093IFH6|A0A093IFH6_DRYPU
Vasoactive intestinal polypeptide receptor (Fragment) OS=Struthio camelus australis OX=441894 GN=N308_07363 PE=3 SV=1 tr|A0A093I2R1|A0A093I2R1_STRCA
Vasoactive intestinal polypeptide receptor (Fragment) OS=Tinamus guttatus OX=94827 GN=N309_12230 PE=3 SV=1 tr|A0A099ZP12|A0A099ZP12_TINGU
Vasoactive intestinal polypeptide receptor 1 isoform B OS=Alligator mississippiensis OX=8496 GN=GHRH-LR PE=3 SV=1 tr|A0A151PDH7|A0A151PDH7_ALLMI
vasoactive intestinal polypeptide receptor 1-like OS=Alligator sinensis OX=38654 GN=LOC102378136 PE=4 SV=1 tr|A0A3Q0GS41|A0A3Q0GS41_ALLSI
Uncharacterized protein OS=Anolis carolinensis OX=28377 GN=LOC100564129 PE=3 SV=2 tr|G1KFF0|G1KFF0_ANOCA
Uncharacterized protein OS=Pelodiscus sinensis OX=13735 PE=3 SV=1 tr|K7GDU8|K7GDU8_PELSI
Uncharacterized protein OS=Latimeria chalumnae OX=7897 PE=3 SV=1 tr|H3AWR7|H3AWR7_LATCH
Growth hormone-releasing hormone receptor 2 OS=Danio rerio OX=7955 GN=ghrhr2 PE=2 SV=1 tr|A9Y366|A9Y366_DANRE
Growth hormone releasing hormone receptor 2 OS=Astyanax mexicanus OX=7994 PE=3 SV=2 tr|W5LPT4|W5LPT4_ASTMX
pituitary adenylate cyclase-activating polypeptide type I receptor-like OS=Salmo salar OX=8030 GN=LOC106579361 PE=3 SV=1 tr|A0A1S3NHF3|A0A1S3NHF3_SALSA
Uncharacterized protein OS=Oncorhynchus mykiss OX=8022 GN=GSONMT00069451001 PE=3 SV=1 tr|A0A060W902|A0A060W902_ONCMY
Growth hormone releasing hormone receptor 2 OS=Lepisosteus oculatus OX=7918 PE=3 SV=1 tr|W5N6L8|W5N6L8_LEPOC
Uncharacterized protein OS=Gallus gallus OX=9031 GN=LOC771308 PE=3 SV=2 tr|F1NKQ1|F1NKQ1_CHICK
Uncharacterized protein OS=Meleagris gallopavo OX=9103 PE=3 SV=2 tr|G1NCM4|G1NCM4_MELGA
Uncharacterized protein OS=Ficedula albicollis OX=59894 PE=3 SV=1 tr|U3KGZ2|U3KGZ2_FICAL
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Corvus brachyrhynchos OX=85066 GN=N302_16170 PE=3 SV=1 tr|A0A091EUL4|A0A091EUL4_CORBR
Vasoactive intestinal polypeptide receptor 1 OS=Lonchura striata domestica OX=299123 GN=VIPR1_0 PE=3 SV=1 tr|A0A218UAA9|A0A218UAA9_9PASE
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Calypte anna OX=9244 GN=N300_02879 PE=3 SV=1 tr|A0A091IBB0|A0A091IBB0_CALAN
Vasoactive intestinal polypeptide receptor 1-like protein OS=Amazona aestiva OX=12930 GN=AAES_81692 PE=3 SV=1 tr|A0A0Q3USM6|A0A0Q3USM6_AMAAE
Uncharacterized protein OS=Anas platyrhynchos OX=8839 PE=3 SV=1 tr|U3IFF7|U3IFF7_ANAPL
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Nipponia nippon OX=128390 GN=Y956_11262 PE=3 SV=1 tr|A0A091V030|A0A091V030_NIPNI
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Cuculus canorus OX=55661 GN=N303_12864 PE=3 SV=1 tr|A0A091GG20|A0A091GG20_9AVES
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Dryobates pubescens OX=118200 GN=N307_03008 PE=3 SV=1 tr|A0A093G8Z7|A0A093G8Z7_DRYPU
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Aptenodytes forsteri OX=9233 GN=AS27_06512 PE=3 SV=1 tr|A0A087RIM8|A0A087RIM8_APTFO
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Charadrius vociferus OX=50402 GN=N301_11512 PE=3 SV=1 tr|A0A0A0AFR3|A0A0A0AFR3_CHAVO
Vasoactive intestinal polypeptide receptor 1 (Fragment) OS=Opisthocomus hoazin OX=30419 GN=N306_15216 PE=3 SV=1 tr|A0A091VCQ2|A0A091VCQ2_OPIHO
Vasoactive intestinal polypeptide receptor 1 OS=Columba livia OX=8932 GN=A306_00011175 PE=3 SV=1 tr|A0A2I0LSG8|A0A2I0LSG8_COLLI
Vasoactive intestinal polypeptide receptor 1 OS=Patagioenas fasciata monilis OX=372326 GN=AV530_001232 PE=3 SV=1 tr|A0A1V4JQ78|A0A1V4JQ78_PATFA
Uncharacterized protein OS=Pelodiscus sinensis OX=13735 PE=3 SV=1 tr|K7GFE5|K7GFE5_PELSI
Growth hormone releasing hormone receptor 2 isoform B OS=Alligator mississippiensis OX=8496 GN=GHRHR2 PE=3 SV=1 tr|A0A151PC19|A0A151PC19_ALLMI
vasoactive intestinal polypeptide receptor 1-like OS=Alligator sinensis OX=38654 GN=LOC102386989 PE=4 SV=1 tr|A0A3Q0FYK4|A0A3Q0FYK4_ALLSI
Secretin receptor OS=Xenopus tropicalis OX=8364 GN=sctr PE=3 SV=1 tr|F7E8R9|F7E8R9_XENTR
Uncharacterized protein OS=Xenopus laevis OX=8355 GN=XELAEV_18046012mg PE=3 SV=1 tr|A0A1L8EKU8|A0A1L8EKU8_XENLA
Uncharacterized protein OS=Xenopus laevis OX=8355 GN=XELAEV_18043251mg PE=3 SV=1 tr|A0A1L8ES44|A0A1L8ES44_XENLA
